DATE,MONTH,Fall,Winter,Spring,Summer,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,willRain,SeattleTwoDaysBeforePrecip,Humidity Diff
2/5/2012,2,0,1,0,0,20,36,57,30.34,27.27,29,5.6,0,1.9,29,47,24,140,14,0,0,0,140,12,0,0,0
2/6/2012,2,0,1,0,0,19,37,54,30.24,27.19,29,8.4,0,2.7,28,48,26,150,20,0,0,0,170,15,0,0,-3
2/7/2012,2,0,1,0,0,18,38,47,30.13,27.1,30,8.4,0,3.4,27,50,26,140,32,0,0,0,150,24,0,0,-7
2/8/2012,2,0,1,0,0,28,42,61,30.28,27.27,36,3.4,0,7.2,23,49,35,130,16,0,0,0,130,14,0,0,14
2/9/2012,2,0,1,0,0,35,42,78,30.36,27.32,38,1.6,0,7,23,47,37,270,15,0,0,0,80,9,0,0.01,17
2/10/2012,2,0,1,0,0,35,45,73,30.15,27.13,39,4.2,0,9.8,20,54,35,150,15,0,0,0,140,12,0,0.11,-5
2/11/2012,2,0,1,0,0,37,43,84,30.02,27.01,40,5.2,0,7.6,22,48,37,110,15,0.17,0,0,110,13,1,0.1,11
2/12/2012,2,0,1,0,0,30,42,68,29.9,26.9,36,8.4,0,6.3,23,49,34,320,23,0,0,0,330,18,0,0.1,-16
2/13/2012,2,0,1,0,0,28,39,69,29.83,26.85,34,6.3,0,3.1,26,49,29,300,18,0,0,0,300,15,0,0.03,1
2/14/2012,2,0,1,0,0,25,36,65,29.9,26.89,32,5,0,-0.2,29,45,26,280,18,0,0,0,280,15,0,0.04,-4
2/15/2012,2,0,1,0,0,25,35,70,30.13,27.13,30,9.5,0,-1.4,30,44,25,290,32,0.02,0,0.3,300,24,1,0.45,5
2/16/2012,2,0,1,0,0,21,34,60,30.37,27.31,30,4.9,0,-2.7,31,44,24,150,14,0,0,0,80,10,0,0.1,-10
2/17/2012,2,0,1,0,0,27,44,53,30.21,27.18,37,4.6,0,7,21,52,35,130,20,0,0,0,120,16,0,0,-7
2/18/2012,2,0,1,0,0,24,37,53,30.03,27.03,34,9.4,0,-0.3,28,47,27,330,30,0.01,0,0,320,23,1,0.07,0
2/19/2012,2,0,1,0,0,18,32,57,30.05,27.02,27,4.6,0,-5.5,33,42,22,320,16,0,0,0,120,12,0,0.68,4
2/20/2012,2,0,1,0,0,22,35,62,30.05,27.03,30,10.3,0,-2.8,30,39,30,120,22,0,0,0,120,17,0,0.25,5
2/21/2012,2,0,1,0,0,37,41,87,30.14,27.11,39,2.7,0,2.9,24,47,34,330,9,0.25,0,0,340,8,1,0,25
2/22/2012,2,0,1,0,0,34,47,55,30.03,27.04,42,14.6,0,8.6,18,56,38,290,40,0.05,0,0,340,31,1,0.12,-32
2/23/2012,2,0,1,0,0,20,38,51,30.26,27.23,31,9.1,0,-0.7,27,45,30,320,24,0,0,0,330,20,0,0.03,-4
2/24/2012,2,0,1,0,0,20,41,42,30.13,27.08,33,13.7,0,2,24,54,28,120,36,0,0,0,120,26,0,0.34,-9
2/25/2012,2,0,1,0,0,21,43,50,29.95,26.98,32,16.4,0,3.7,22,53,33,280,44,0.08,0,0,150,32,1,0,8
2/26/2012,2,0,1,0,0,14,34,46,30.15,27.1,27,4.2,0,-5.6,31,39,29,120,20,0,0,0,130,16,0,0.45,-4
2/27/2012,2,0,1,0,0,16,36,51,29.93,26.9,27,3.2,0,-3.9,29,45,26,290,14,0,0,0,320,10,0,0,5
2/28/2012,2,0,1,0,0,16,33,49,29.92,26.9,28,6,0,-7.2,32,46,20,160,31,0,0,0,120,22,0,0.05,-2
2/29/2012,2,0,1,0,0,21,39,52,29.81,26.83,32,11.2,0,-1.4,26,44,33,270,35,0.07,0,0.7,260,25,1,0,3
3/1/2012,3,0,0,1,0,23,34,66,29.96,26.95,30,8.8,0,-6.5,31,38,29,320,26,0.09,0,1.4,330,22,1,0.14,14
3/2/2012,3,0,0,1,0,19,35,54,30.38,27.33,29,5.5,0,-5.8,30,43,26,320,18,0,0,0,320,15,0,0.03,-12
3/3/2012,3,0,0,1,0,29,46,59,30.39,27.35,37,4.6,0,4.9,19,54,37,120,12,0,0,0,120,10,0,0,5
3/4/2012,3,0,0,1,0,32,49,55,30.24,27.21,41,6.8,0,7.6,16,63,34,120,18,0,0,0,120,15,0,0.08,-4
3/5/2012,3,0,0,1,0,28,51,41,29.83,26.85,41,10.2,0,9.3,14,62,39,340,31,0,0,0,340,26,0,0,-14
3/6/2012,3,0,0,1,0,20,40,59,29.83,26.87,29,18.4,0,-2,25,50,30,340,47,0.08,0,0.3,310,31,1,0,18
3/7/2012,3,0,0,1,0,13,35,41,30.27,27.24,28,14.1,0,-7.3,30,46,24,320,35,0,0,0,320,26,0,0.27,-18
3/8/2012,3,0,0,1,0,21,42,45,30.5,27.45,34,8.8,0,-0.6,23,57,27,130,22,0,0,0,140,17,0,0.02,4
3/9/2012,3,0,0,1,0,23,49,40,30.28,27.25,38,7.6,0,6.1,16,67,31,170,21,0,0,0,120,16,0,0,-5
3/10/2012,3,0,0,1,0,22,51,33,29.86,26.89,40,9.7,0,7.8,14,67,34,160,23,0,0,0,150,18,0,0,-7
3/11/2012,3,0,0,1,0,27,52,45,29.7,26.77,40,10.5,0,8.6,13,63,40,300,39,0.01,0,0,290,29,1,0.14,12
3/12/2012,3,0,0,1,0,29,48,51,29.77,26.79,40,11.9,0,4.3,17,57,39,140,26,0,0,0,130,21,0,0.41,6
3/13/2012,3,0,0,1,0,29,49,53,29.68,26.75,40,13.1,0,5,16,59,38,190,36,0.03,0,0,300,28,1,0.54,2
3/14/2012,3,0,0,1,0,38,43,82,29.94,26.96,41,4.5,0,-1.2,22,49,37,140,16,0.22,0,0,150,13,1,0.76,29
3/15/2012,3,0,0,1,0,42,54,67,29.89,26.92,48,12.3,0,9.5,11,61,46,140,31,0.14,0,0,140,26,1,0.37,-15
3/16/2012,3,0,0,1,0,40,51,70,29.68,26.72,45,11,0,6.3,14,58,44,300,45,0.22,0,0,300,37,1,0.34,3
3/17/2012,3,0,0,1,0,31,45,62,29.49,26.54,39,5.9,0,0,20,50,39,250,30,0.38,0,0,250,23,1,0.94,-8
3/18/2012,3,0,0,1,0,32,38,82,29.44,26.5,35,7.5,0,-7.2,27,41,34,300,22,0.17,0,0.4,300,17,1,0.33,20
3/19/2012,3,0,0,1,0,19,36,54,29.86,26.87,29,8.8,0,-9.4,29,43,28,330,28,0,0,0,310,18,0,0.37,-28
3/20/2012,3,0,0,1,0,28,40,69,30.02,27.01,34,15.7,0,-5.6,25,47,33,120,32,0.04,0,0.2,130,26,1,0.14,15
3/21/2012,3,0,0,1,0,36,55,51,29.91,26.93,46,15.3,0,9.1,10,66,44,130,31,0,0,0,120,24,0,0.08,-18
3/22/2012,3,0,0,1,0,35,56,45,29.73,26.8,46,11.2,0,9.9,9,64,47,140,29,0,0,0,140,23,0,0.14,-6
3/23/2012,3,0,0,1,0,33,47,62,29.89,26.94,40,5,0,0.7,18,57,37,310,17,0,0,0,310,15,0,0.05,17
3/24/2012,3,0,0,1,0,33,50,55,29.82,26.85,42,5.4,0,3.5,15,63,37,290,16,0,0,0,310,13,0,0.16,-7
3/25/2012,3,0,0,1,0,35,59,46,29.59,26.66,47,10.3,0,12.4,6,75,43,140,44,0.13,0,0,140,36,1,0,-9
3/26/2012,3,0,0,1,0,39,47,74,29.76,26.83,43,7.7,0,0.2,18,52,42,270,33,0.24,0,0,270,25,1,0,28
3/27/2012,3,0,0,1,0,30,51,45,29.87,26.9,42,12.3,0,4,14,63,38,150,32,0,0,0,140,25,0,0,-29
3/28/2012,3,0,0,1,0,37,50,64,29.87,26.93,43,9.5,0,2.8,15,58,42,280,37,0.27,0,0,280,28,1,0,19
3/29/2012,3,0,0,1,0,37,48,69,29.94,26.95,43,14.6,0,0.6,17,55,40,150,29,0.06,0,0,120,23,1,0.19,5
3/30/2012,3,0,0,1,0,44,54,71,29.79,26.84,49,13.8,0,6.4,11,60,48,130,29,0.15,0,0,120,24,1,0.05,2
3/31/2012,3,0,0,1,0,37,63,47,29.51,26.59,49,14.7,0,15.3,2,77,49,300,48,0,0,0,300,38,0,1.08,-24
4/1/2012,4,0,0,1,0,21,46,38,29.9,26.97,37,12.7,0,-1.9,19,52,39,300,36,0,0,0,340,30,0,0.22,-9
4/2/2012,4,0,0,1,0,25,43,50,30.24,27.22,35,5.1,0,-5.1,22,54,31,300,15,0,0,0,300,12,0,0.52,12
4/3/2012,4,0,0,1,0,25,53,37,29.95,26.95,40,14,0,4.8,12,67,38,120,37,0,0,0,160,28,0,0.06,-13
4/4/2012,4,0,0,1,0,26,46,45,29.85,26.91,38,10.8,0,-2.4,19,56,36,250,37,0,0,0,260,31,0,0,8
4/5/2012,4,0,0,1,0,25,40,59,29.96,26.95,34,7.9,0,-8.6,25,51,28,270,30,0,0,0,350,18,0,0.06,14
4/6/2012,4,0,0,1,0,20,41,48,30.14,27.14,32,10.4,0,-7.8,24,51,30,280,30,0,0,0,290,21,0,0,-11
4/7/2012,4,0,0,1,0,19,47,33,30.21,27.19,37,9.6,0,-1.9,18,62,32,150,32,0,0,0,140,23,0,0.18,-15
4/8/2012,4,0,0,1,0,24,60,28,30.05,27.08,43,5.6,0,10.9,5,75,45,150,17,0,0,0,150,15,0,0.01,-5
4/9/2012,4,0,0,1,0,28,58,33,29.91,26.96,44,4.1,0,8.7,7,71,44,130,18,0,0,0,140,16,0,0,5
4/10/2012,4,0,0,1,0,31,62,35,29.68,26.75,46,6.7,0,12.5,3,77,46,150,31,0,0,0,150,23,0,0,2
4/11/2012,4,0,0,1,0,37,56,55,29.57,26.67,46,6.1,0,6.3,9,66,46,310,28,0.05,0,0,200,20,1,0,20
4/12/2012,4,0,0,1,0,32,52,52,29.79,26.85,42,5.9,0,2.1,13,61,43,130,28,0.16,0,0,270,20,1,0,-3
4/13/2012,4,0,0,1,0,32,53,52,29.68,26.74,42,10.9,0,2.9,12,64,41,200,31,0.02,0,0,190,26,1,0.09,0
4/14/2012,4,0,0,1,0,32,55,49,29.74,26.82,44,11.6,0,4.7,10,66,43,330,36,0,0,0,310,30,0,0.02,-3
4/15/2012,4,0,0,1,0,25,50,40,30.05,27.08,39,10.3,0,-0.5,15,61,38,310,33,0,0,0,310,23,0,0,-9
4/16/2012,4,0,0,1,0,36,50,62,30.1,27.11,43,7.7,0,-0.7,15,58,41,120,25,0.09,0,0,80,17,1,0,22
4/17/2012,4,0,0,1,0,41,56,64,30.06,27.09,48,4.4,0,5.1,9,65,46,280,23,0.03,0,0,290,17,1,0,2
4/18/2012,4,0,0,1,0,40,55,63,30.01,27.04,46,6.1,0,3.8,10,63,46,170,24,0.05,0,0,170,20,1,0.32,-1
4/19/2012,4,0,0,1,0,43,55,66,30.1,27.14,48,3.4,0,3.6,10,63,46,340,16,0.11,0,0,130,14,1,0.07,3
4/20/2012,4,0,0,1,0,44,65,51,30.1,27.14,53,6.2,0,13.4,0,76,53,300,15,0,0,0,120,10,0,0.07,-15
4/21/2012,4,0,0,1,0,40,66,41,30.01,27.08,53,5.4,1,14.1,0,82,50,150,21,0,0,0,140,16,0,0.43,-10
4/22/2012,4,0,0,1,0,40,73,33,29.9,26.98,55,5,8,20.9,0,91,54,130,16,0,0,0,130,13,0,0.26,-8
4/23/2012,4,0,0,1,0,42,76,35,29.8,26.91,56,7.9,11,23.6,0,91,61,250,48,0.05,0,0,250,32,1,0,2
4/24/2012,4,0,0,1,0,48,68,52,29.79,26.88,56,6,3,15.3,0,82,53,320,38,0,0,0,320,30,0,0,17
4/25/2012,4,0,0,1,0,45,68,55,29.76,26.83,54,7.8,3,15.1,0,82,54,200,33,0.18,0,0,190,26,1,0,3
4/26/2012,4,0,0,1,0,48,50,87,29.67,26.77,50,7.4,0,-3.2,15,59,41,320,40,1.09,0,0,310,30,1,0.17,32
4/27/2012,4,0,0,1,0,31,47,57,30.17,27.18,40,9.2,0,-6.5,18,54,40,300,28,0.04,0,0,330,22,1,0.42,-30
4/28/2012,4,0,0,1,0,32,49,53,30.14,27.14,42,8.4,0,-4.8,16,60,37,310,25,0,0,0,300,22,0,0.15,-4
4/29/2012,4,0,0,1,0,35,51,52,30.02,27.03,44,6.6,0,-3.1,14,64,38,320,22,0,0,0,290,17,0,0.03,-1
4/30/2012,4,0,0,1,0,42,58,59,29.75,26.81,49,9.4,0,3.6,7,65,50,150,28,0.07,0,0,140,22,1,0,7
5/1/2012,5,0,0,1,0,31,51,50,29.82,26.86,42,7.3,0,-3.6,14,60,42,310,30,0,0,0,310,24,0,0.17,-9
5/2/2012,5,0,0,1,0,29,49,48,29.88,26.91,41,5.6,0,-5.9,16,60,38,310,30,0,0,0,320,24,0,0.17,-2
5/3/2012,5,0,0,1,0,40,56,59,29.78,26.84,48,8.1,0,0.8,9,62,50,120,22,0.09,0,0,110,16,1,0.02,11
5/4/2012,5,0,0,1,0,41,51,80,30.02,27.06,45,7.5,0,-4.5,14,61,41,320,35,0.29,0,0,300,28,1,0.02,21
5/5/2012,5,0,0,1,0,30,46,59,30.33,27.31,39,9.2,0,-9.8,19,55,36,290,25,0,0,0,350,18,0,0.73,-21
5/6/2012,5,0,0,1,0,30,48,54,30.34,27.31,40,6.6,0,-8.2,17,62,33,310,31,0,0,0,310,20,0,0.07,-5
5/7/2012,5,0,0,1,0,32,54,44,30.23,27.24,44,4.9,0,-2.5,11,70,38,300,17,0,0,0,320,13,0,0,-10
5/8/2012,5,0,0,1,0,34,63,39,30.05,27.09,49,5.1,0,6.2,2,80,46,320,15,0,0,0,320,12,0,0,-5
5/9/2012,5,0,0,1,0,34,66,33,29.85,26.93,50,10.6,1,8.9,0,82,49,310,31,0,0,0,300,25,0,0,-6
5/10/2012,5,0,0,1,0,23,53,33,30.08,27.13,40,16.5,0,-4.4,12,62,43,310,32,0,0,0,310,24,0,0,0
5/11/2012,5,0,0,1,0,25,51,37,30.15,27.16,40,5.9,0,-6.7,14,66,35,320,24,0,0,0,310,15,0,0,4
5/12/2012,5,0,0,1,0,29,58,35,30.18,27.21,45,6.3,0,0,7,75,41,310,20,0,0,0,320,14,0,0,-2
5/13/2012,5,0,0,1,0,31,65,31,30.14,27.19,49,4.5,0,6.7,0,83,47,150,17,0,0,0,130,12,0,0,-4
5/14/2012,5,0,0,1,0,39,69,34,29.96,27.03,54,4.2,4,10.4,0,88,50,350,18,0,0,0,330,14,0,0,3
5/15/2012,5,0,0,1,0,43,69,40,29.84,26.93,56,3.4,4,10.1,0,81,56,350,13,0,0,0,140,9,0,0,6
5/16/2012,5,0,0,1,0,41,71,38,29.79,26.88,55,8.2,6,11.9,0,87,55,350,22,0,0,0,330,17,0,0,-2
5/17/2012,5,0,0,1,0,35,61,39,29.77,26.87,48,9.5,0,1.6,4,71,51,330,37,0,0,0,320,31,0,0,1
5/18/2012,5,0,0,1,0,29,57,37,29.89,26.95,44,11.9,0,-2.7,8,69,45,280,35,0,0,0,320,24,0,0,-2
5/19/2012,5,0,0,1,0,27,59,31,29.99,27.03,45,4.7,0,-1,6,75,43,350,16,0,0,0,350,13,0,0,-6
5/20/2012,5,0,0,1,0,34,70,29,29.96,27.03,52,6,5,9.7,0,84,56,160,18,0,0,0,160,14,0,0,-2
5/21/2012,5,0,0,1,0,42,75,33,29.8,26.9,56,11.9,10,14.5,0,87,63,300,36,0,0,0,310,30,0,0,4
5/22/2012,5,0,0,1,0,40,63,46,29.83,26.91,51,10.6,0,2.2,2,72,54,330,30,0.04,0,0,320,24,1,0.25,13
5/23/2012,5,0,0,1,0,33,55,47,29.87,26.93,45,11.5,0,-6.1,10,63,47,300,33,0,0,0,320,21,0,0.55,1
5/24/2012,5,0,0,1,0,33,51,51,29.72,26.77,43,5.7,0,-10.4,14,62,39,150,24,0,0,0,150,18,0,0.24,4
5/25/2012,5,0,0,1,0,40,54,66,29.58,26.66,46,6.7,0,-7.6,11,62,45,310,24,0.15,0,0,320,20,1,0.01,15
5/26/2012,5,0,0,1,0,42,50,77,29.66,26.72,46,7.3,0,-11.9,15,57,43,330,20,0.33,0,0,320,16,1,0,11
5/27/2012,5,0,0,1,0,39,57,53,29.91,26.98,48,6.5,0,-5.1,8,65,49,270,28,0,0,0,270,22,0,0,-24
5/28/2012,5,0,0,1,0,37,62,42,29.94,27,50,5.8,0,-0.4,3,76,47,50,17,0,0,0,30,13,0,0,-11
5/29/2012,5,0,0,1,0,38,65,38,29.91,26.99,52,6.7,0,2.3,0,79,51,320,30,0,0,0,320,20,0,0,-4
5/30/2012,5,0,0,1,0,35,64,36,30.06,27.13,50,6.4,0,1.1,1,79,48,350,26,0,0,0,340,17,0,0,-2
5/31/2012,5,0,0,1,0,42,68,38,30.03,27.09,55,4.9,3,4.8,0,84,52,360,22,0,0,0,350,16,0,0,2
6/1/2012,6,0,0,0,1,44,73,37,29.85,26.95,57,4.6,8,9.6,0,89,57,210,25,0,0,0,210,20,0,0.01,-1
6/2/2012,6,0,0,0,1,50,74,45,29.69,26.81,60,9.5,9,10.3,0,85,63,360,26,0.01,0,0,330,21,1,0.15,8
6/3/2012,6,0,0,0,1,46,73,40,29.74,26.85,58,5,8,9,0,90,55,270,17,0,0,0,340,14,0,0.26,-5
6/4/2012,6,0,0,0,1,46,73,50,29.65,26.74,56,9.2,8,8.8,0,93,52,280,60,0.01,0,0,280,41,1,0.01,10
6/5/2012,6,0,0,0,1,42,51,72,29.9,26.96,46,10.6,0,-13.5,14,57,44,310,33,0.03,0,0,300,26,1,0,22
6/6/2012,6,0,0,0,1,32,52,49,30.11,27.13,44,3.2,0,-12.7,13,66,37,290,14,0,0,0,280,10,0,0.05,-23
6/7/2012,6,0,0,0,1,32,64,35,29.92,26.98,48,13.8,0,-1,1,80,48,160,35,0.01,0,0,320,28,1,0.63,-14
6/8/2012,6,0,0,0,1,38,59,51,29.8,26.87,49,8.1,0,-6.3,6,68,49,330,28,0,0,0,310,22,0,0,16
6/9/2012,6,0,0,0,1,35,53,59,29.94,27,44,10,0,-12.5,12,63,43,290,32,0.13,0,0,310,25,1,0.65,8
6/10/2012,6,0,0,0,1,37,58,46,30.11,27.15,47,5.9,0,-7.8,7,70,46,340,22,0,0,0,310,15,0,0.06,-13
6/11/2012,6,0,0,0,1,34,64,35,30.07,27.13,50,5,0,-2.1,1,80,48,330,17,0,0,0,320,15,0,0,-11
6/12/2012,6,0,0,0,1,37,74,29,29.87,26.96,54,9.2,9,7.6,0,89,59,350,37,0,0,0,340,30,0,0,-6
6/13/2012,6,0,0,0,1,39,68,39,29.89,26.98,53,10.5,3,1.4,0,80,55,350,23,0,0,0,340,20,0,0,10
6/14/2012,6,0,0,0,1,26,65,25,29.88,26.95,48,4.5,0,-1.9,0,81,49,330,20,0,0,0,320,14,0,0.03,-14
6/15/2012,6,0,0,0,1,33,69,28,29.94,27.03,51,11,4,1.8,0,83,54,320,28,0,0,0,310,22,0,0,3
6/16/2012,6,0,0,0,1,32,67,28,30.02,27.08,50,4.1,2,-0.5,0,85,48,340,18,0,0,0,120,10,0,0,0
6/17/2012,6,0,0,0,1,38,77,26,29.73,26.83,56,9.1,12,9.2,0,93,60,320,30,0,0,0,310,24,0,0,-2
6/18/2012,6,0,0,0,1,37,65,38,29.74,26.85,50,12.2,0,-3.1,0,75,54,340,37,0,0,0,320,30,0,0,12
6/19/2012,6,0,0,0,1,32,58,39,29.95,27.01,46,9.3,0,-10.4,7,70,45,250,31,0,0,0,350,20,0,0,1
6/20/2012,6,0,0,0,1,31,63,34,30.03,27.08,48,6.5,0,-5.7,2,82,44,130,26,0,0,0,150,18,0,0.12,-5
6/21/2012,6,0,0,0,1,30,78,20,29.73,26.82,54,9.8,13,8.9,0,96,59,80,24,0,0,0,120,18,0,0.04,-14
6/22/2012,6,0,0,0,1,36,79,23,29.53,26.69,56,8.1,14,9.6,0,92,66,290,40,0,0,0,320,32,0,0,3
6/23/2012,6,0,0,0,1,39,71,32,29.62,26.74,54,9.3,6,1.3,0,84,58,330,25,0,0,0,320,21,0,0,9
6/24/2012,6,0,0,0,1,36,71,31,29.76,26.88,53,7.4,6,1,0,86,56,300,23,0,0,0,310,18,0,0.62,-1
6/25/2012,6,0,0,0,1,35,72,29,29.71,26.82,53,6.3,7,1.7,0,88,55,300,23,0,0,0,300,18,0,0.34,-2
6/26/2012,6,0,0,0,1,34,64,34,29.88,26.98,49,10.4,0,-6.7,1,72,56,280,28,0,0,0,280,23,0,0,5
6/27/2012,6,0,0,0,1,33,65,35,29.94,27.01,50,4.7,0,-6,0,84,46,340,14,0,0,0,330,10,0,0.02,1
6/28/2012,6,0,0,0,1,33,76,24,29.83,26.93,54,3.8,11,4.7,0,95,57,360,16,0,0,0,330,13,0,0,-11
6/29/2012,6,0,0,0,1,41,73,32,29.91,27.01,56,7.3,8,1.4,0,88,58,320,28,0,0,0,330,17,0,0,8
6/30/2012,6,0,0,0,1,44,77,33,29.77,26.88,59,5.5,12,5,0,97,57,300,25,0,0,0,290,18,0,0,1
7/1/2012,7,0,0,0,1,49,77,42,29.78,26.91,60,11.4,12,4.7,0,88,66,280,26,0,0,0,280,22,0,0.01,9
7/2/2012,7,0,0,0,1,45,78,35,29.74,26.84,60,3.9,13,5.4,0,97,58,130,15,0,0,0,130,12,0,0.12,-7
7/3/2012,7,0,0,0,1,36,76,27,29.8,26.93,55,11.3,11,3.1,0,84,67,320,28,0,0,0,300,21,0,0,-8
7/4/2012,7,0,0,0,1,37,71,33,29.81,26.9,54,6.6,6,-2.2,0,90,52,340,22,0,0,0,320,20,0,0.08,6
7/5/2012,7,0,0,0,1,42,78,32,29.8,26.92,58,5.6,13,4.5,0,93,62,150,23,0,0,0,150,18,0,0.23,-1
